"table_schema","table_name","column_name","data_type","is_nullable","column_default"
"auth","identities","id","uuid","NO","gen_random_uuid()"
"extensions","pg_stat_statements_info","stats_reset","timestamp with time zone","YES",""
"extensions","pg_stat_statements","userid","oid","YES",""
"extensions","pg_stat_statements","dbid","oid","YES",""
"extensions","pg_stat_statements","toplevel","boolean","YES",""
"extensions","pg_stat_statements","queryid","bigint","YES",""
"storage","buckets","file_size_limit","bigint","YES",""
"storage","migrations","id","integer","NO",""
"storage","migrations","executed_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"pgsodium","mask_columns","attrelid","oid","YES",""
"pgsodium","valid_key","id","uuid","YES",""
"pgsodium","valid_key","status","USER-DEFINED","YES",""
"pgsodium","valid_key","key_type","USER-DEFINED","YES",""
"pgsodium","valid_key","key_id","bigint","YES",""
"pgsodium","valid_key","key_context","bytea","YES",""
"pgsodium","valid_key","created","timestamp with time zone","YES",""
"pgsodium","valid_key","expires","timestamp with time zone","YES",""
"pgsodium","decrypted_key","id","uuid","YES",""
"pgsodium","decrypted_key","status","USER-DEFINED","YES",""
"pgsodium","decrypted_key","created","timestamp with time zone","YES",""
"pgsodium","decrypted_key","expires","timestamp with time zone","YES",""
"pgsodium","decrypted_key","key_type","USER-DEFINED","YES",""
"pgsodium","decrypted_key","key_id","bigint","YES",""
"pgsodium","decrypted_key","key_context","bytea","YES",""
"pgsodium","decrypted_key","raw_key","bytea","YES",""
"pgsodium","decrypted_key","decrypted_raw_key","bytea","YES",""
"pgsodium","decrypted_key","raw_key_nonce","bytea","YES",""
"pgsodium","decrypted_key","parent_key","uuid","YES",""
"pgsodium","key","id","uuid","NO","gen_random_uuid()"
"pgsodium","key","status","USER-DEFINED","YES","'valid'::pgsodium.key_status"
"pgsodium","key","created","timestamp with time zone","NO","CURRENT_TIMESTAMP"
"pgsodium","key","expires","timestamp with time zone","YES",""
"pgsodium","key","key_type","USER-DEFINED","YES",""
"pgsodium","key","key_id","bigint","YES","nextval('pgsodium.key_key_id_seq'::regclass)"
"pgsodium","key","key_context","bytea","YES","'\x7067736f6469756d'::bytea"
"pgsodium","key","raw_key","bytea","YES",""
"pgsodium","key","raw_key_nonce","bytea","YES",""
"pgsodium","key","parent_key","uuid","YES",""
"pgsodium","masking_rule","attrelid","oid","YES",""
"pgsodium","masking_rule","attnum","integer","YES",""
"pgsodium","masking_rule","relnamespace","regnamespace","YES",""
"pgsodium","masking_rule","priority","integer","YES",""
"pgsodium","masking_rule","security_invoker","boolean","YES",""
"vault","secrets","id","uuid","NO","gen_random_uuid()"
"vault","secrets","key_id","uuid","YES","(pgsodium.create_key()).id"
"vault","secrets","nonce","bytea","YES","pgsodium.crypto_aead_det_noncegen()"
"vault","secrets","created_at","timestamp with time zone","NO","CURRENT_TIMESTAMP"
"vault","secrets","updated_at","timestamp with time zone","NO","CURRENT_TIMESTAMP"
"vault","decrypted_secrets","id","uuid","YES",""
"vault","decrypted_secrets","key_id","uuid","YES",""
"vault","decrypted_secrets","nonce","bytea","YES",""
"vault","decrypted_secrets","created_at","timestamp with time zone","YES",""
"vault","decrypted_secrets","updated_at","timestamp with time zone","YES",""
"realtime","subscription","id","bigint","NO",""
"realtime","subscription","subscription_id","uuid","NO",""
"realtime","subscription","entity","regclass","NO",""
"realtime","subscription","filters","ARRAY","NO","'{}'::realtime.user_defined_filter[]"
"realtime","subscription","claims","jsonb","NO",""
"realtime","subscription","claims_role","regrole","NO",""
"realtime","subscription","created_at","timestamp without time zone","NO","timezone('utc'::text, now())"
"realtime","messages","id","bigint","NO","nextval('realtime.messages_id_seq'::regclass)"
"realtime","messages","inserted_at","timestamp without time zone","NO",""
"realtime","messages","updated_at","timestamp without time zone","NO",""
"public","users","id","uuid","NO","uuid_generate_v4()"
"public","users","rating","numeric","YES","0"
"public","users","balance","numeric","YES","0"
"public","users","created","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","users","last_active","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","users","preferences","jsonb","YES","'{""language"": ""sv"", ""notifications"": true}'::jsonb"
"auth","mfa_challenges","id","uuid","NO",""
"auth","mfa_challenges","factor_id","uuid","NO",""
"auth","mfa_challenges","created_at","timestamp with time zone","NO",""
"auth","mfa_challenges","verified_at","timestamp with time zone","YES",""
"auth","mfa_challenges","ip_address","inet","NO",""
"auth","mfa_factors","id","uuid","NO",""
"auth","mfa_factors","user_id","uuid","NO",""
"auth","mfa_factors","factor_type","USER-DEFINED","NO",""
"auth","mfa_factors","status","USER-DEFINED","NO",""
"auth","mfa_factors","created_at","timestamp with time zone","NO",""
"auth","mfa_factors","updated_at","timestamp with time zone","NO",""
"auth","mfa_factors","last_challenged_at","timestamp with time zone","YES",""
"auth","one_time_tokens","id","uuid","NO",""
"auth","one_time_tokens","user_id","uuid","NO",""
"auth","one_time_tokens","token_type","USER-DEFINED","NO",""
"auth","one_time_tokens","created_at","timestamp without time zone","NO","now()"
"auth","one_time_tokens","updated_at","timestamp without time zone","NO","now()"
"auth","audit_log_entries","instance_id","uuid","YES",""
"auth","audit_log_entries","id","uuid","NO",""
"auth","audit_log_entries","payload","json","YES",""
"auth","audit_log_entries","created_at","timestamp with time zone","YES",""
"auth","saml_relay_states","id","uuid","NO",""
"auth","saml_relay_states","sso_provider_id","uuid","NO",""
"auth","saml_relay_states","created_at","timestamp with time zone","YES",""
"auth","saml_relay_states","updated_at","timestamp with time zone","YES",""
"auth","saml_relay_states","flow_state_id","uuid","YES",""
"auth","sessions","id","uuid","NO",""
"auth","sessions","user_id","uuid","NO",""
"auth","sessions","created_at","timestamp with time zone","YES",""
"auth","sessions","updated_at","timestamp with time zone","YES",""
"auth","sessions","factor_id","uuid","YES",""
"auth","sessions","aal","USER-DEFINED","YES",""
"auth","sessions","not_after","timestamp with time zone","YES",""
"auth","sessions","refreshed_at","timestamp without time zone","YES",""
"auth","sessions","ip","inet","YES",""
"auth","sso_providers","id","uuid","NO",""
"auth","sso_providers","created_at","timestamp with time zone","YES",""
"auth","sso_providers","updated_at","timestamp with time zone","YES",""
"auth","sso_domains","id","uuid","NO",""
"auth","sso_domains","sso_provider_id","uuid","NO",""
"auth","sso_domains","created_at","timestamp with time zone","YES",""
"auth","sso_domains","updated_at","timestamp with time zone","YES",""
"auth","mfa_amr_claims","session_id","uuid","NO",""
"auth","mfa_amr_claims","created_at","timestamp with time zone","NO",""
"auth","mfa_amr_claims","updated_at","timestamp with time zone","NO",""
"auth","mfa_amr_claims","id","uuid","NO",""
"auth","saml_providers","id","uuid","NO",""
"auth","saml_providers","sso_provider_id","uuid","NO",""
"auth","saml_providers","attribute_mapping","jsonb","YES",""
"auth","saml_providers","created_at","timestamp with time zone","YES",""
"auth","saml_providers","updated_at","timestamp with time zone","YES",""
"auth","flow_state","id","uuid","NO",""
"auth","flow_state","user_id","uuid","YES",""
"auth","flow_state","code_challenge_method","USER-DEFINED","NO",""
"auth","flow_state","created_at","timestamp with time zone","YES",""
"auth","flow_state","updated_at","timestamp with time zone","YES",""
"auth","flow_state","auth_code_issued_at","timestamp with time zone","YES",""
"auth","identities","user_id","uuid","NO",""
"auth","identities","identity_data","jsonb","NO",""
"auth","identities","last_sign_in_at","timestamp with time zone","YES",""
"auth","identities","created_at","timestamp with time zone","YES",""
"auth","identities","updated_at","timestamp with time zone","YES",""
"extensions","pg_stat_statements_info","dealloc","bigint","YES",""
"extensions","pg_stat_statements","plans","bigint","YES",""
"extensions","pg_stat_statements","total_plan_time","double precision","YES",""
"extensions","pg_stat_statements","min_plan_time","double precision","YES",""
"extensions","pg_stat_statements","max_plan_time","double precision","YES",""
"extensions","pg_stat_statements","mean_plan_time","double precision","YES",""
"extensions","pg_stat_statements","stddev_plan_time","double precision","YES",""
"extensions","pg_stat_statements","calls","bigint","YES",""
"extensions","pg_stat_statements","total_exec_time","double precision","YES",""
"extensions","pg_stat_statements","min_exec_time","double precision","YES",""
"extensions","pg_stat_statements","max_exec_time","double precision","YES",""
"extensions","pg_stat_statements","mean_exec_time","double precision","YES",""
"extensions","pg_stat_statements","stddev_exec_time","double precision","YES",""
"extensions","pg_stat_statements","rows","bigint","YES",""
"extensions","pg_stat_statements","shared_blks_hit","bigint","YES",""
"extensions","pg_stat_statements","shared_blks_read","bigint","YES",""
"extensions","pg_stat_statements","shared_blks_dirtied","bigint","YES",""
"extensions","pg_stat_statements","shared_blks_written","bigint","YES",""
"extensions","pg_stat_statements","local_blks_hit","bigint","YES",""
"extensions","pg_stat_statements","local_blks_read","bigint","YES",""
"extensions","pg_stat_statements","local_blks_dirtied","bigint","YES",""
"extensions","pg_stat_statements","local_blks_written","bigint","YES",""
"extensions","pg_stat_statements","temp_blks_read","bigint","YES",""
"extensions","pg_stat_statements","temp_blks_written","bigint","YES",""
"extensions","pg_stat_statements","blk_read_time","double precision","YES",""
"extensions","pg_stat_statements","blk_write_time","double precision","YES",""
"extensions","pg_stat_statements","temp_blk_read_time","double precision","YES",""
"extensions","pg_stat_statements","temp_blk_write_time","double precision","YES",""
"extensions","pg_stat_statements","wal_records","bigint","YES",""
"extensions","pg_stat_statements","wal_fpi","bigint","YES",""
"extensions","pg_stat_statements","wal_bytes","numeric","YES",""
"extensions","pg_stat_statements","jit_functions","bigint","YES",""
"extensions","pg_stat_statements","jit_generation_time","double precision","YES",""
"extensions","pg_stat_statements","jit_inlining_count","bigint","YES",""
"extensions","pg_stat_statements","jit_inlining_time","double precision","YES",""
"extensions","pg_stat_statements","jit_optimization_count","bigint","YES",""
"extensions","pg_stat_statements","jit_optimization_time","double precision","YES",""
"extensions","pg_stat_statements","jit_emission_count","bigint","YES",""
"extensions","pg_stat_statements","jit_emission_time","double precision","YES",""
"public","jobs","id","uuid","NO","uuid_generate_v4()"
"public","jobs","customer_id","uuid","YES",""
"public","jobs","provider_id","uuid","YES",""
"public","jobs","price","numeric","NO",""
"public","jobs","created","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","jobs","deadline","timestamp with time zone","YES",""
"public","jobs","completed_at","timestamp with time zone","YES",""
"public","jobs","estimated_hours","integer","YES",""
"public","payments","id","uuid","NO","uuid_generate_v4()"
"public","payments","job_id","uuid","YES",""
"public","payments","amount","numeric","NO",""
"public","payments","initiated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","payments","completed_at","timestamp with time zone","YES",""
"public","payments","from_id","uuid","YES",""
"public","payments","to_id","uuid","YES",""
"public","feedback","id","uuid","NO","uuid_generate_v4()"
"public","feedback","job_id","uuid","YES",""
"public","feedback","from_id","uuid","YES",""
"public","feedback","to_id","uuid","YES",""
"public","feedback","rating","integer","YES",""
"public","feedback","created","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","feedback","response_at","timestamp with time zone","YES",""
"storage","s3_multipart_uploads","in_progress_size","bigint","NO","0"
"storage","s3_multipart_uploads","created_at","timestamp with time zone","NO","now()"
"public","disputes","id","uuid","NO","uuid_generate_v4()"
"public","disputes","job_id","uuid","YES",""
"public","disputes","initiator_id","uuid","YES",""
"public","disputes","respondent_id","uuid","YES",""
"public","disputes","created","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","disputes","resolved_at","timestamp with time zone","YES",""
"storage","s3_multipart_uploads_parts","id","uuid","NO","gen_random_uuid()"
"storage","s3_multipart_uploads_parts","size","bigint","NO","0"
"storage","s3_multipart_uploads_parts","part_number","integer","NO",""
"storage","s3_multipart_uploads_parts","created_at","timestamp with time zone","NO","now()"
"public","chat_messages","id","uuid","NO","uuid_generate_v4()"
"public","chat_messages","job_id","uuid","YES",""
"public","chat_messages","sender_id","uuid","YES",""
"public","chat_messages","recipient_id","uuid","YES",""
"public","chat_messages","sent_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","chat_messages","read_at","timestamp with time zone","YES",""
"public","notifications","id","uuid","NO","uuid_generate_v4()"
"public","notifications","user_id","uuid","YES",""
"public","notifications","related_id","uuid","YES",""
"public","notifications","created","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","notifications","read_at","timestamp with time zone","YES",""
"auth","instances","id","uuid","NO",""
"auth","instances","uuid","uuid","YES",""
"auth","instances","created_at","timestamp with time zone","YES",""
"auth","instances","updated_at","timestamp with time zone","YES",""
"auth","users","instance_id","uuid","YES",""
"auth","users","id","uuid","NO",""
"auth","users","email_confirmed_at","timestamp with time zone","YES",""
"auth","users","invited_at","timestamp with time zone","YES",""
"auth","users","confirmation_sent_at","timestamp with time zone","YES",""
"auth","users","recovery_sent_at","timestamp with time zone","YES",""
"auth","users","email_change_sent_at","timestamp with time zone","YES",""
"auth","users","last_sign_in_at","timestamp with time zone","YES",""
"auth","users","raw_app_meta_data","jsonb","YES",""
"auth","users","raw_user_meta_data","jsonb","YES",""
"auth","users","is_super_admin","boolean","YES",""
"auth","users","created_at","timestamp with time zone","YES",""
"auth","users","updated_at","timestamp with time zone","YES",""
"auth","users","phone_confirmed_at","timestamp with time zone","YES",""
"auth","users","phone_change_sent_at","timestamp with time zone","YES",""
"auth","users","confirmed_at","timestamp with time zone","YES",""
"auth","users","email_change_confirm_status","smallint","YES","0"
"auth","users","banned_until","timestamp with time zone","YES",""
"auth","users","reauthentication_sent_at","timestamp with time zone","YES",""
"auth","users","is_sso_user","boolean","NO","false"
"auth","users","deleted_at","timestamp with time zone","YES",""
"auth","users","is_anonymous","boolean","NO","false"
"auth","refresh_tokens","instance_id","uuid","YES",""
"auth","refresh_tokens","id","bigint","NO","nextval('auth.refresh_tokens_id_seq'::regclass)"
"auth","refresh_tokens","revoked","boolean","YES",""
"auth","refresh_tokens","created_at","timestamp with time zone","YES",""
"auth","refresh_tokens","updated_at","timestamp with time zone","YES",""
"auth","refresh_tokens","session_id","uuid","YES",""
"realtime","schema_migrations","version","bigint","NO",""
"realtime","schema_migrations","inserted_at","timestamp without time zone","YES",""
"storage","objects","id","uuid","NO","gen_random_uuid()"
"storage","objects","owner","uuid","YES",""
"storage","objects","created_at","timestamp with time zone","YES","now()"
"storage","objects","updated_at","timestamp with time zone","YES","now()"
"storage","objects","last_accessed_at","timestamp with time zone","YES","now()"
"storage","objects","metadata","jsonb","YES",""
"storage","buckets","owner","uuid","YES",""
"storage","buckets","created_at","timestamp with time zone","YES","now()"
"storage","buckets","updated_at","timestamp with time zone","YES","now()"
"storage","buckets","public","boolean","YES","false"
"storage","buckets","avif_autodetection","boolean","YES","false"
"auth","users","encrypted_password","character varying","YES",""
"pgsodium","decrypted_key","associated_data","text","YES",""
"auth","identities","email","text","YES",""
"auth","users","confirmation_token","character varying","YES",""
"auth","one_time_tokens","token_hash","text","NO",""
"auth","users","recovery_token","character varying","YES",""
"realtime","messages","topic","text","NO",""
"auth","users","email_change_token_new","character varying","YES",""
"auth","users","email_change","character varying","YES",""
"realtime","messages","extension","text","NO",""
"pgsodium","decrypted_key","comment","text","YES",""
"auth","one_time_tokens","relates_to","text","NO",""
"auth","flow_state","code_challenge","text","NO",""
"auth","sessions","user_agent","text","YES",""
"public","users","email","text","NO",""
"public","users","name","text","NO",""
"auth","users","phone","text","YES","NULL::character varying"
"public","users","phone","text","YES",""
"auth","users","phone_change","text","YES","''::character varying"
"auth","users","phone_change_token","character varying","YES","''::character varying"
"public","users","user_type","text","NO",""
"pgsodium","key","name","text","YES",""
"auth","users","email_change_token_current","character varying","YES","''::character varying"
"pgsodium","key","associated_data","text","YES","'associated'::text"
"auth","flow_state","provider_type","text","NO",""
"auth","users","reauthentication_token","character varying","YES","''::character varying"
"auth","sessions","tag","text","YES",""
"auth","saml_providers","entity_id","text","NO",""
"pgsodium","key","comment","text","YES",""
"pgsodium","key","user_data","text","YES",""
"auth","sso_providers","resource_id","text","YES",""
"auth","audit_log_entries","ip_address","character varying","NO","''::character varying"
"auth","refresh_tokens","token","character varying","YES",""
"auth","refresh_tokens","user_id","character varying","YES",""
"public","users","specialties","ARRAY","YES","'{}'::text[]"
"public","notifications","message","text","NO",""
"pgsodium","valid_key","associated_data","text","YES",""
"auth","saml_providers","name_id_format","text","YES",""
"auth","identities","provider","text","NO",""
"auth","schema_migrations","version","character varying","NO",""
"auth","mfa_factors","secret","text","YES",""
"auth","mfa_factors","phone","text","YES",""
"auth","instances","raw_base_config","text","YES",""
"auth","flow_state","authentication_method","text","NO",""
"auth","flow_state","auth_code","text","NO",""
"auth","mfa_amr_claims","authentication_method","text","NO",""
"pgsodium","decrypted_key","name","text","YES",""
"auth","users","aud","character varying","YES",""
"auth","users","role","character varying","YES",""
"auth","users","email","character varying","YES",""
"extensions","pg_stat_statements","query","text","YES",""
"auth","refresh_tokens","parent","character varying","YES",""
"pgsodium","masking_rule","format_type","text","YES",""
"public","jobs","description","text","NO",""
"public","jobs","status","text","NO",""
"storage","objects","bucket_id","text","YES",""
"storage","objects","name","text","YES",""
"public","jobs","complexity","text","YES",""
"public","jobs","location","text","YES",""
"public","jobs","tags","ARRAY","YES",""
"auth","saml_providers","metadata_xml","text","NO",""
"auth","saml_providers","metadata_url","text","YES",""
"storage","objects","path_tokens","ARRAY","YES",""
"public","payments","status","text","NO",""
"public","payments","method","text","NO",""
"public","payments","transaction_id","text","YES",""
"storage","objects","version","text","YES",""
"storage","objects","owner_id","text","YES",""
"storage","buckets","id","text","NO",""
"storage","buckets","name","text","NO",""
"auth","saml_relay_states","request_id","text","NO",""
"vault","secrets","name","text","YES",""
"vault","secrets","description","text","NO","''::text"
"vault","secrets","secret","text","NO",""
"auth","saml_relay_states","for_email","text","YES",""
"public","feedback","comment","text","YES",""
"auth","saml_relay_states","redirect_to","text","YES",""
"public","feedback","response","text","YES",""
"storage","buckets","allowed_mime_types","ARRAY","YES",""
"storage","s3_multipart_uploads","id","text","NO",""
"storage","buckets","owner_id","text","YES",""
"storage","s3_multipart_uploads","upload_signature","text","NO",""
"storage","s3_multipart_uploads","bucket_id","text","NO",""
"storage","s3_multipart_uploads","version","text","NO",""
"storage","s3_multipart_uploads","owner_id","text","YES",""
"auth","mfa_challenges","otp_code","text","YES",""
"storage","migrations","name","character varying","NO",""
"storage","migrations","hash","character varying","NO",""
"auth","flow_state","provider_access_token","text","YES",""
"public","disputes","reason","text","NO",""
"public","disputes","description","text","YES",""
"public","disputes","status","text","NO",""
"auth","flow_state","provider_refresh_token","text","YES",""
"public","disputes","resolution","text","YES",""
"public","disputes","evidence","ARRAY","YES",""
"storage","s3_multipart_uploads_parts","upload_id","text","NO",""
"storage","s3_multipart_uploads_parts","bucket_id","text","NO",""
"storage","s3_multipart_uploads_parts","etag","text","NO",""
"storage","s3_multipart_uploads_parts","owner_id","text","YES",""
"storage","s3_multipart_uploads_parts","version","text","NO",""
"pgsodium","mask_columns","format_type","text","YES",""
"vault","decrypted_secrets","name","text","YES",""
"pgsodium","valid_key","name","text","YES",""
"vault","decrypted_secrets","description","text","YES",""
"vault","decrypted_secrets","secret","text","YES",""
"public","chat_messages","content","text","NO",""
"auth","mfa_factors","friendly_name","text","YES",""
"auth","sso_domains","domain","text","NO",""
"auth","identities","provider_id","text","NO",""
"public","notifications","type","text","NO",""
"pgsodium","masking_rule","relname","name","YES",""
"pgsodium","masking_rule","attname","name","YES",""
"storage","s3_multipart_uploads","key","text","NO",""
"vault","decrypted_secrets","decrypted_secret","text","YES",""
"pgsodium","masking_rule","col_description","text","YES",""
"pgsodium","masking_rule","key_id_column","text","YES",""
"pgsodium","masking_rule","key_id","text","YES",""
"pgsodium","mask_columns","key_id_column","text","YES",""
"storage","s3_multipart_uploads_parts","key","text","NO",""
"pgsodium","mask_columns","associated_columns","text","YES",""
"pgsodium","mask_columns","key_id","text","YES",""
"pgsodium","masking_rule","associated_columns","text","YES",""
"pgsodium","masking_rule","nonce_column","text","YES",""
"pgsodium","mask_columns","nonce_column","text","YES",""
"pgsodium","masking_rule","view_name","text","YES",""
"pgsodium","mask_columns","attname","name","YES",""